times,home_teams,score_home,score_away,away_teams
24.02. 16:00,Brighton,1,1,Everton
24.02. 16:00,Crystal Palace,3,0,Burnley
24.02. 16:00,Manchester Utd,1,2,Fulham
21.02. 20:30,Liverpool,4,1,Luton
20.02. 20:30,Manchester City,1,0,Brentford
19.02. 21:00,Everton,1,1,Crystal Palace
18.02. 17:30,Luton,1,2,Manchester Utd
18.02. 15:00,Sheffield Utd,0,5,Brighton
17.02. 18:30,Manchester City,1,1,Chelsea
17.02. 16:00,Burnley,0,5,Arsenal
17.02. 16:00,Fulham,1,2,Aston Villa
17.02. 16:00,Newcastle,2,2,Bournemouth
17.02. 16:00,Nottingham,2,0,West Ham
17.02. 16:00,Tottenham,1,2,Wolves
17.02. 13:30,Brentford,1,4,Liverpool
12.02. 21:00,Crystal Palace,1,3,Chelsea
11.02. 17:30,Aston Villa,1,2,Manchester Utd
11.02. 15:00,West Ham,0,6,Arsenal
10.02. 18:30,Nottingham,2,3,Newcastle
10.02. 16:00,Fulham,3,1,Bournemouth
10.02. 16:00,Liverpool,3,1,Burnley
10.02. 16:00,Luton,1,3,Sheffield Utd
10.02. 16:00,Tottenham,2,1,Brighton
10.02. 16:00,Wolves,0,2,Brentford
10.02. 13:30,Manchester City,2,0,Everton
05.02. 21:00,Brentford,1,3,Manchester City
04.02. 17:30,Arsenal,3,1,Liverpool
04.02. 15:00,Bournemouth,1,1,Nottingham
04.02. 15:00,Chelsea,2,4,Wolves
04.02. 15:00,Manchester Utd,3,0,West Ham
03.02. 18:30,Sheffield Utd,0,5,Aston Villa
03.02. 16:00,Brighton,4,1,Crystal Palace
03.02. 16:00,Burnley,2,2,Fulham
03.02. 16:00,Newcastle,4,4,Luton
03.02. 13:30,Everton,2,2,Tottenham
01.02. 21:15,Wolves,3,4,Manchester Utd
01.02. 20:30,West Ham,1,1,Bournemouth
31.01. 21:15,Liverpool,4,1,Chelsea
31.01. 20:30,Manchester City,3,1,Burnley
31.01. 20:30,Tottenham,3,2,Brentford
30.01. 21:15,Aston Villa,1,3,Newcastle
30.01. 21:00,Crystal Palace,3,2,Sheffield Utd
30.01. 20:45,Fulham,0,0,Everton
30.01. 20:45,Luton,4,0,Brighton
30.01. 20:30,Nottingham,1,2,Arsenal
22.01. 20:45,Brighton,0,0,Wolves
21.01. 17:30,Bournemouth,0,4,Liverpool
21.01. 15:00,Sheffield Utd,2,2,West Ham
20.01. 18:30,Brentford,3,2,Nottingham
20.01. 13:30,Arsenal,5,0,Crystal Palace
14.01. 17:30,Manchester Utd,2,2,Tottenham
14.01. 15:00,Everton,0,0,Aston Villa
13.01. 18:30,Newcastle,2,3,Manchester City
13.01. 13:30,Chelsea,1,0,Fulham
12.01. 20:45,Burnley,1,1,Luton
02.01. 20:30,West Ham,0,0,Brighton
01.01. 21:00,Liverpool,4,2,Newcastle
31.12. 15:00,Fulham,2,1,Arsenal
31.12. 15:00,Tottenham,3,1,Bournemouth
30.12. 18:30,Nottingham,2,1,Manchester Utd
30.12. 16:00,Aston Villa,3,2,Burnley
30.12. 16:00,Crystal Palace,3,1,Brentford
30.12. 16:00,Manchester City,2,0,Sheffield Utd
30.12. 16:00,Wolves,3,0,Everton
30.12. 13:30,Luton,2,3,Chelsea
28.12. 21:15,Arsenal,0,2,West Ham
28.12. 20:30,Brighton,4,2,Tottenham
27.12. 21:15,Everton,1,3,Manchester City
27.12. 20:30,Brentford,1,4,Wolves
27.12. 20:30,Chelsea,2,1,Crystal Palace
26.12. 21:00,Manchester Utd,3,2,Aston Villa
26.12. 18:30,Burnley,0,2,Liverpool
26.12. 16:00,Bournemouth,3,0,Fulham
